lat,lon,diam
60.1008,13.2668,22.2873
61.622,62.3232,142.266
70.2234,286.451,84.6753
69.0189,71.1435,72.3796
75.9732,202.997,91.9165
61.8885,241.538,82.1795
60.1653,243.414,69.5968
60.4131,233.697,50.6406
70.5354,157.083,26.9462
57.8467,186.955,20.6599
56.5573,188.082,49.7897
55.3268,188.827,58.7321
55.094,184.659,72.0524
54.503,183.282,76.7852
55.0204,195.905,27.8322
58.6171,196.82,50.8977
55.6562,200.813,25.2475
59.2446,200.702,21.1315
59.6089,200.971,26.2031
57.2667,206.587,25.3815
55.9226,209.349,27.1357
56.1878,208.939,45.9155
56.9942,197.834,167.694
58.7517,213.257,322.265
59.477,213.023,25.4364
57.3969,215.199,57.0041
56.3143,214.656,35.8468
57.6046,227.133,47.0197
57.4648,228.23,49.0217
56.4183,227.515,40.4326
55.7543,232.749,29.8488
58.1975,238.469,31.7697
56.1416,239.075,31.8993
59.2245,233.868,86.8743
54.6585,233.907,59.9091
54.3206,236.679,21.2281
55.2774,241.627,33.6937
56.8244,244.862,22.0578
57.1719,248.65,34.5197
59.8422,245.202,28.0677
54.4608,245.069,89.7796
54.9209,251.966,36.9591
57.5178,253.979,23.0879
56.2518,255.328,26.7501
55.6935,255.929,39.8279
57.6569,258.086,37.0843
59.3473,252.909,72.1673
59.4885,254.684,65.9841
58.4078,257.52,56.1237
55.4481,260.317,54.9155
56.2828,263.098,22.8624
59.2651,263.377,27.0534
59.2469,267.136,38.2486
56.3408,266.522,20.7986
57.7072,260.575,209.369
58.5823,267.932,44.6972
59.9687,269.202,33.8354
55.0682,267.203,22.8427
54.6689,268.635,36.4311
49.8504,268.999,39.6021
51.3235,267.718,31.0855
52.443,267.218,20.41
52.3128,266.208,20.2657
53.878,267.128,40.2814
53.4649,262.485,24.3821
51.2888,263.144,38.1424
50.0075,262.489,26.9387
53.7965,256.169,28.9123
50.8825,255.7,22.1916
50.0972,259.434,70.8663
48.6435,259.437,36.6652
51.6644,261.431,54.6621
49.0645,257.33,71.4363
52.5916,249.946,32.3245
52.6076,247.175,20.593
52.9635,247.981,32.8108
51.2475,243.597,20.7193
50.309,243.967,30.7118
49.7634,243.886,27.6601
50.2549,242.3,37.4827
49.811,241.21,29.9866
51.3362,238.972,28.4647
51.2429,238.263,25.9249
50.0514,236.191,43.7691
50.5075,237.795,31.8856
49.1366,238.907,73.5506
48.4528,235.187,21.581
53.2697,232.013,60.3963
50.3719,233.326,25.5836
50.1616,232.647,31.3023
52.5449,227.388,26.3646
53.5893,228.495,26.5482
53.91,226.981,39.797
48.7614,224.441,20.757
49.696,222.579,29.5271
52.1297,220.789,33.9399
51.98,224.473,22.0812
50.9906,224.84,63.8678
52.0436,215.779,122.2
49.5058,212.416,55.7815
50.2589,210.281,24.7753
51.6816,211.768,37.2458
52.9456,209.104,49.6735
53.2834,207.671,24.3319
50.0472,204.94,28.839
52.7395,204.154,46.2954
